2024-04-15 10:40:08,731 INFO  StartupInfoLogger:55 - [] Starting EmployeeBatchServiceDbtocsvApplication using Java 17.0.4.1 on LIN65001560 with PID 8964 (C:\Users\CHOPRASA\Documents\Assignments\employee-batch-service-dbtocsv\target\classes started by choprasa in C:\Users\CHOPRASA\Documents\Assignments\employee-batch-service-dbtocsv)
2024-04-15 10:40:08,739 INFO  SpringApplication:631 - [] No active profile set, falling back to 1 default profile: "default"
2024-04-15 10:40:10,310 INFO  RepositoryConfigurationDelegate:132 - [] Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-15 10:40:10,372 INFO  RepositoryConfigurationDelegate:201 - [] Finished Spring Data repository scanning in 24 ms. Found 0 JPA repository interfaces.
2024-04-15 10:40:11,686 INFO  TomcatWebServer:108 - [] Tomcat initialized with port(s): 8080 (http)
2024-04-15 10:40:11,713 INFO  DirectJDKLog:173 - [] Starting service [Tomcat]
2024-04-15 10:40:11,716 INFO  DirectJDKLog:173 - [] Starting Servlet engine: [Apache Tomcat/9.0.70]
2024-04-15 10:40:12,093 INFO  DirectJDKLog:173 - [] Initializing Spring embedded WebApplicationContext
2024-04-15 10:40:12,095 INFO  ServletWebServerApplicationContext:292 - [] Root WebApplicationContext: initialization completed in 3231 ms
2024-04-15 10:40:12,349 INFO  HikariDataSource:110 - [] HikariPool-1 - Starting...
2024-04-15 10:40:13,191 INFO  HikariDataSource:123 - [] HikariPool-1 - Start completed.
2024-04-15 10:40:13,667 INFO  LogHelper:31 - [] HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-15 10:40:13,830 INFO  Version:44 - [] HHH000412: Hibernate ORM core version 5.6.14.Final
2024-04-15 10:40:14,290 INFO  JavaReflectionManager:56 - [] HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-04-15 10:40:14,609 INFO  Dialect:175 - [] HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2024-04-15 10:40:16,212 INFO  JtaPlatformInitiator:52 - [] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-04-15 10:40:16,240 INFO  AbstractEntityManagerFactoryBean:437 - [] Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-15 10:40:16,575 WARN  JpaBaseConfiguration$JpaWebConfiguration:219 - [] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-15 10:40:17,297 WARN  JpaBatchConfigurer:63 - [] JPA does not support custom isolation levels, so locks may not be taken when launching Jobs. To silence this warning, set 'spring.batch.jdbc.isolation-level-for-create' to 'default'.
2024-04-15 10:40:17,315 INFO  JobRepositoryFactoryBean:185 - [] No database type set, using meta data indicating: MYSQL
2024-04-15 10:40:17,367 INFO  SimpleJobLauncher:215 - [] No TaskExecutor has been set, defaulting to synchronous executor.
2024-04-15 10:40:17,651 INFO  TomcatWebServer:220 - [] Tomcat started on port(s): 8080 (http) with context path ''
2024-04-15 10:40:17,679 INFO  StartupInfoLogger:61 - [] Started EmployeeBatchServiceDbtocsvApplication in 9.992 seconds (JVM running for 12.416)
2024-04-15 10:40:28,687 INFO  DirectJDKLog:173 - [] Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-15 10:40:28,688 INFO  FrameworkServlet:525 - [] Initializing Servlet 'dispatcherServlet'
2024-04-15 10:40:28,691 INFO  FrameworkServlet:547 - [] Completed initialization in 2 ms
2024-04-15 10:40:29,036 INFO  EmployeeController:28 - [] Data export job has been triggered.
2024-04-15 10:40:29,234 INFO  SimpleJobLauncher$1:146 - [] Job: [FlowJob: [name=export-employees]] launched with the following parameters: [{startAt=1713157829038}]
2024-04-15 10:40:29,389 INFO  SimpleStepHandler:149 - [] Executing step: [step1]
2024-04-15 10:40:29,502 INFO  EmployeeProcessor:16 - [] Processing employee with ID: 1
2024-04-15 10:40:29,504 INFO  EmployeeProcessor:16 - [] Processing employee with ID: 3
2024-04-15 10:40:29,535 INFO  AbstractStep:273 - [] Step: [step1] executed in 145ms
2024-04-15 10:40:29,585 INFO  SimpleJobLauncher$1:152 - [] Job: [FlowJob: [name=export-employees]] completed with the following parameters: [{startAt=1713157829038}] and the following status: [COMPLETED] in 259ms
2024-04-15 10:40:29,586 INFO  EmployeeController:37 - [] Data export job has completed successfully.
2024-04-15 10:40:49,262 INFO  SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin:159 - [] Application shutdown requested.
2024-04-15 10:40:49,342 INFO  DirectJDKLog:173 - [] Stopping service [Tomcat]
2024-04-15 10:40:49,347 INFO  DirectJDKLog:173 - [] Destroying Spring FrameworkServlet 'dispatcherServlet'
2024-04-15 10:40:49,380 INFO  AbstractEntityManagerFactoryBean:651 - [] Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-15 10:40:49,388 INFO  HikariDataSource:350 - [] HikariPool-1 - Shutdown initiated...
2024-04-15 10:40:49,419 INFO  HikariDataSource:352 - [] HikariPool-1 - Shutdown completed.
